Page 1 Header,Name,Match Number,Assignment,Robot?,Team (getting scouted),Page 2 Header,AMP Score (Auto),SPEAKER Score (Auto),Crossed Line?,Game Pieces Taken?,Page 3 Header,Used Coopertition Button,AMP Score (Teleop),SPEAKER Score (Teleop),Page 4 Header,TRAP Score,Climb Type,Issues,Intook From (Full Match),Notes
,Taj,1,Red 3,3102,,,0,1,FALSE,,,TRUE,1,2,,0,Solo Climb,,Source,
,Aiden,1,Blue 1,5437,,,,,FALSE,,,FALSE,0,0,,0,,Tipped/Tippy,,Very defensive
,zofia,1,Red 2,5454,,,0,1,TRUE,Center Spike,,TRUE,0,4,,0,,,Ground,"good driver, fast swerve"
,Alex,1,Blue 3,8044,,,0,0,FALSE,,,FALSE,2,5,,0,Solo Climb,Failed Auto,"Ground , Source","no auto, had problems w shooter power at first but they were resolved"
,Luke Thompson,1,Red 3,3102,,,0,1,FALSE,,,TRUE,2,1,,0,Solo Climb,,Source,"Don’t know if they’re fully off the ground for climb, note got stuck in the frame"
,Jalen,1,Blue 2,6586,,,0,1,TRUE,Left Spike,,FALSE,0,0,,0,2 Robot Climb,Disabled,Ground,This robot did not cook. It just burn
,Leif,1,Blue 3,8044,,,0,0,FALSE,,,FALSE,2,5,,0,Solo Climb,Failed Auto,"Ground , Source","No auto, the shooter had problems with aim and power in the beginning, along with taking multiple attempts to score in the amp."
,Jazlyn,1,Red 2,5454,,,0,1,TRUE,"Right Spike , Left Spike",,FALSE,0,6,,0,,,Ground,
,Owen Reynolds,1,Red 1,3616,,,0,2,TRUE,Right Spike,,FALSE,0,1,,0,2 Robot Climb,,"Ground , Source","Note immediately got stuck in the robot, so they mostly stuck to playing a fairly decent defense game"
,Owen Reynolds,1,Red 1,3616,,,0,2,TRUE,Right Spike,,FALSE,0,1,,0,2 Robot Climb,,"Ground , Source","Note immediately got stuck in the robot, so they mostly stuck to playing a fairly decent defense game"
,Garys,1,Blue 1,5437,,,0,0,FALSE,,,,0,0,,0,,Tipped/Tippy,,Wobbles alot with speed; picked up no notes; used as defense. No movement in auto.
,Ajmed,1,Blue 2,6586,,,0,0,,,,,0,0,,0,,,,
,Aiden,2,Blue 1,2190,,,,,FALSE,,,FALSE,,,,0,,Tipped/Tippy,,"Defensive, did pretty much nothing"
,Luke Thompson,2,Red 3,16,,,0,4,TRUE,,,TRUE,5,3,,0,,,Ground,
,Taj,2,Red 3,16,,,0,4,TRUE,,,FALSE,5,3,,0,,,Ground,
,alex,2,Blue 3,2992,,,0,1,FALSE,,,FALSE,4,2,,0,,,,intake method was prone to intakinf multiple notes but they seemed to be good at getting rid of them
,zofua,2,Red 2,5002,,,0,0,FALSE,,,FALSE,0,0,,0,,,,"couldn’t do anything this round, looks like they have a shooter so idk what the issue is"
,Jazlyn,2,Red 2,5002,,,0,0,FALSE,,,FALSE,0,0,,0,,,,did not grab notes or scored and played a little bit of defense
,Coby,2,Blue 2,9429,,,0,1,FALSE,,,FALSE,0,0,,0,,,,
,Jalen,2,Blue 2,9429,,,0,1,FALSE,,,FALSE,0,0,,0,,,,It was running around like a headless chicken. Useless
,Dillon,2,Red 1,6186,,,0,0,TRUE,,,FALSE,0,0,,0,,Disabled,Source,Was off for half the match. Nothing tried to score and got not close
,Owen,2,Red 1,6186,,,0,0,FALSE,Failed Left Spike,,FALSE,1,1,,0,,"Disabled , Failed Auto , Made Alliance Fail Climb",Source,Disabled for a good portion of the match not the entire time
,Garys,2,Blue 1,2190,,,0,0,FALSE,,,FALSE,0,0,,0,,,,Ran into chain during auto; collected no notes: used as defense; tall and bulky.
,Leif,2,Blue 3,2992,,,0,1,FALSE,,,FALSE,4,2,,0,,Failed Auto,"Ground , Source","Robot had an auto that did nothing. The robot also had trouble scoring on amp and speaker about 2 or 3 times. Movement speed with the robot was also relatively slow, which prevented it from having enough time to climb or score again."
,Jonathan,3,Red 1,4107,,,0,0,FALSE,,,FALSE,0,5,,0,,,Source,
,Taj,3,Red 3,7483,,,0,0,FALSE,,,FALSE,3,0,,0,,,Ground,Don’t think it can climb
,Luke Thompson,3,Red 3,7483,,,0,0,FALSE,,,FALSE,2,0,,0,,Failed Auto,,Slowest arm ever
,zofia,3,Red 2,9608,,,0,1,FALSE,,,FALSE,0,0,,0,,Disabled,Source,"source only robot, not stuck or shooter failed no use during game"
,Jalen,3,Blue 2,323,,,0,1,FALSE,,,TRUE,1,0,,0,2 Robot Climb,Disabled,Ground,
,Aiden,3,Blue 1,6055,,,,,FALSE,,,FALSE,,5,,0,Solo Climb,Failed Auto,Ground,"Overall a pretty good team, I don’t think they can intake from source at all"
,Dillon,3,Red 1,4107,,,0,0,TRUE,,,TRUE,0,7,,0,,,Source,Very consistent.
,alex,3,Blue 3,2357,,,0,1,FALSE,,,FALSE,4,0,,0,,,Ground,"im honestly not sure if they climbed or not, they started to but then part of their robot touched the ground? idk"
,Coby fixed,3,Blue 2,323,,,0,0,FALSE,,,FALSE,1,0,,0,,"Disabled , Failed Auto",Ground,
,Garys,3,Blue 1,6055,,,0,0,FALSE,,,FALSE,0,5,,0,Solo Climb,,Ground,Fast and efficient at speaker. Good offense.
,Jazlyn,3,Red 2,9608,,,0,0,TRUE,,,FALSE,0,0,,0,,Failed Auto,Source,"not sure what to put for it but it seemed like they couldn’t shoot. noticed they did have the parts to climb, but didn’t."
,Leif,3,Blue 3,2357,,,0,1,TRUE,,,FALSE,4,0,,0,Solo Climb,,"Ground , Source","The robot wasted a lot of time waiting around, not doing anything for about a full 30 or 40 seconds. The robot also climbed with a full 30 seconds left, which means that at least 40 seconds of game time was wasted."
,Jalen,4,Blue 2,3792,,,0,1,TRUE,Center Spike,,FALSE,0,5,,1,2 Robot Climb,,"Ground , Source",
,Coby,4,Blue 2,3792,,,0,1,FALSE,,,TRUE,0,3,,0,Solo Climb,Failed Auto,Ground,
,Luke Thompson,4,Red 3,1622,,,0,1,TRUE,,,TRUE,0,0,,0,Solo Climb,,Ground,"Note got stuck in frame, could only defend"
,Jonathan,4,Red 1,9073,,,0,0,FALSE,,,FALSE,0,0,,0,,Disabled,,did not move
,Dillon,4,Red 1,9073,,,0,0,FALSE,,,FALSE,0,0,,0,,Disabled,,Thang was not on.
,alex,4,Blue 3,2341,,,0,1,FALSE,,,FALSE,0,3,,0,Solo Climb,,"Ground , Source",shooter seemed sorta flimsy but not too bad
,Taj,4,Red 3,1622,,,0,1,TRUE,,,TRUE,0,0,,0,,,,Note stuck
,Aiden,4,Blue 1,1038,,,0,,TRUE,,,FALSE,5,0,,0,,,Ground,Might be a good choice since we’re primarily speaker and they’re primary amp
,zofia,4,Red 2,3937,,,0,1,TRUE,,,FALSE,7,5,,0,,,Ground,woahhhhhh super fastt and high scorer
,Garys,4,Blue 1,1038,,,0,0,FALSE,,,FALSE,4,0,,0,,,Ground,Mostly git notes from ground by the source; Amp scoring robot saw no speaker shots. Tall and bulky yet not tippy somehow. Hiding behind Amp during auto so early data could be slightly off.
,Jazlyn,4,Red 2,3937,,,0,1,TRUE,,,TRUE,5,5,,0,,Failed Auto,Ground,"picked up 2 notes duirng auto, failed to shoot the first note before getting the other"
,Leif,4,Blue 3,2341,,,0,1,FALSE,,,FALSE,0,3,,0,Solo Climb,,"Ground , Source","The robot was overrun with the defense of the other team, and actually participated in lots of defense on its own, which prevented the other team from getting certain notes in the source area. The robot is not very fast, but is not slow."
,Jazlyn,5,Red 2,9067,,,0,0,FALSE,,,TRUE,1,3,,0,Solo Climb,,,
,zofia,5,Red 2,9067,,,0,0,FALSE,,,FALSE,1,2,,0,Solo Climb,,Ground,
,Aiden,5,Blue 1,1781,,,,2,FALSE,,,FALSE,3,2,,0,Solo Climb,,Ground,
,Taj,5,Red 3,3102,,,0,1,FALSE,,,FALSE,1,3,,0,Solo Climb,,Ground,
,Luke Thompson,5,Red 3,3102,,,0,1,FALSE,,,TRUE,0,2,,0,Solo Climb,,"Ground , Source",
,Dillon,5,Red 1,4336,,,0,0,TRUE,,,TRUE,0,0,,0,Solo Climb,,,Never scored only climbed.
,Jalen,5,Blue 2,16,,,0,3,TRUE,Left Spike,,FALSE,2,3,,0,2 Robot Climb,,"Ground , Source",That 7525 robot was cooking
,Leif,5,Blue 3,7525,,,0,3,TRUE,,,FALSE,0,6,,0,Solo Climb,,"Ground , Source","The best robot at comp, no more explanation needed."
,Leif,5,Blue 3,7525,,,0,3,TRUE,,,FALSE,0,6,,0,Solo Climb,,"Ground , Source","The best robot at comp, no more explanation needed."
,Coby,5,Blue 2,16,,,0,3,TRUE,,,FALSE,1,2,,0,,,"Ground , Source",Autos paired well
,Jonathan,5,Red 1,4336,,,0,0,TRUE,,,FALSE,0,0,,0,,Failed Auto,,Played defense whole match
,Garys,5,Blue 1,1781,,,0,1,FALSE,,,FALSE,5,2,,0,2 Robot Climb,,Ground,Can score both Amp and speaker really well.
,Coby fixed,6,Blue 2,6586,,,0,0,FALSE,,,FALSE,0,0,,0,,"Tipped/Tippy , Failed Auto","Ground , Source",Rough
,Jalen,6,Blue 2,6586,,,0,0,TRUE,Failed Center Spike,,FALSE,0,0,,0,Solo Climb,,"Ground , Source",
,alex,6,Blue 3,5454,,,0,0,FALSE,,,FALSE,0,9,,0,,,"Ground , Source",literally just spun around in auto?
,Elaria,6,Red 1,2992,,,0,0,FALSE,Center Spike,,FALSE,7,0,,0,,,Ground,
,Aiden,6,Blue 1,9608,,,,,FALSE,,,FALSE,0,0,,0,Solo Climb,Parts Fell Off/Broke,Source,
,Taj,6,Red 3,6186,,,0,1,TRUE,,,FALSE,0,0,,0,,,Ground,Missed every shot
,Luke Thompson,6,Red 3,6186,,,0,0,FALSE,,,FALSE,0,0,,0,,,Source,"Fed notes the whole match, wasn’t good at in taking"
,Zofia,6,Red 2,4107,,,0,0,FALSE,,,FALSE,0,8,,0,Solo Climb,,"Ground , Source",
,Dillon,6,Red 1,2992,,,0,0,TRUE,,,FALSE,8,0,,0,,,"Ground , Source",Amp score only reliable one fouled a lot too
,Jazlyn,6,Red 2,4107,,,0,0,FALSE,,,TRUE,0,7,,0,Solo Climb,,"Ground , Source","couldn’t see the bumper during auto, not sure if i got that right. scored only in speaker"
,Leif,6,Blue 3,5454,,,0,0,FALSE,,,FALSE,0,9,,0,,,"Ground , Source","Constantly scores speaker, but gets few pints because there were almost no amp scores by the other robots, relatively slow robot as well."
,Garys,6,Blue 1,9608,,,0,0,FALSE,Failed Center Line 1,,FALSE,0,0,,0,Solo Climb,,Source,Didn't score anything. No floor intake.
,Taj,7,Red 3,6055,,,0,0,TRUE,,,FALSE,2,1,,0,Solo Climb,,Ground,
,alex,7,Blue 3,5002,,,0,0,FALSE,,,FALSE,0,0,,0,,"Disabled , Failed Auto",,literally just a roomba 😭 bro did not cook
,Aiden,7,Blue 1,2357,,,0,2,FALSE,Center Spike,,FALSE,5,2,,0,,,Ground,
,zofia,7,Red 2,2341,,,0,0,FALSE,,,FALSE,0,3,,0,Solo Climb,,Ground,driver kinda booty
,Leif,7,Blue 3,5002,,,0,0,FALSE,,,FALSE,0,0,,0,,"Disabled , Failed Auto",,"The robot was a Roomba, and nothing else, pretty sure there was a malfunction on the code side."
,Luke Thompson,7,Red 3,6055,,,0,0,TRUE,,,FALSE,4,1,,0,Solo Climb,,Ground,Human player did not support their ampage
,Jalen,7,Blue 2,7483,,,0,0,FALSE,,,FALSE,0,0,,2,Solo Climb,,,This robot needs to do better
,Elaria,7,Red 1,9429,,,0,1,FALSE,,,FALSE,0,0,,0,,,,"only scored one during auto, did defense but fouled"
,Jazlyn,7,Red 2,2341,,,0,0,FALSE,,,FALSE,0,5,,0,Solo Climb,,Ground,seemed to have a little trouble picking up notes
,Garys,7,Blue 1,2357,,,0,2,FALSE,"Center Spike , Left Spike",,TRUE,7,1,,0,Solo Climb,,Ground,Mainly scores Amp + can score speaker well. Overall good bot.
,Coby,7,Blue 2,7483,,,0,0,FALSE,,,FALSE,0,0,,0,,Failed Auto,Ground,
,Dillon,7,Red 1,9429,,,0,0,TRUE,,,TRUE,0,0,,0,,Parts Fell Off/Broke,,Broke in auto. Never scored
,Jalen,8,Blue 2,8044,,,0,0,FALSE,,,FALSE,2,5,,0,Solo Climb,,,
,zofia,8,Red 2,1038,,,0,1,TRUE,,,FALSE,3,0,,0,Solo Climb,,Ground,"alright, slow amp"
,Garys,8,Blue 1,2190,,,0,0,FALSE,,,FALSE,0,0,,0,,,,Did not play/was not in arena.
,Garys,8,Blue 1,2190,,,0,0,FALSE,,,FALSE,0,0,,0,,,,Did not play/was not in arena.
,Dillon,8,Red 1,7525,,,0,3,TRUE,,,FALSE,0,4,,0,Solo Climb,Parts Fell Off/Broke,"Ground , Source",RAHHHHHHHH
,Jonathan,8,Red 1,7525,,,0,3,TRUE,"Center Spike , Left Spike , Failed Right Spike",,FALSE,0,6,,0,Solo Climb,,Ground,i mean what can i say... we da best
,Leif,8,Blue 3,3792,,,0,1,TRUE,,,FALSE,0,7,,0,,Failed Auto,"Ground , Source","Robot is efficient with speaker scoring, and is a medium speed robot."
,Leif,8,Blue 3,3792,,,0,1,TRUE,,,FALSE,0,7,,0,,Failed Auto,"Ground , Source","Robot is efficient with speaker scoring, and is a medium speed robot."
,Jazlyn,8,Red 2,1038,,,0,0,FALSE,,,FALSE,3,0,,0,Solo Climb,,Ground,maybe had issues with auto? only scored in amp and climbed early
,Coby,8,Blue 2,8044,,,0,0,FALSE,,,FALSE,0,5,,0,Solo Climb,Failed Auto,,
,Nisala,8,Red 3,323,,,0,0,FALSE,,,FALSE,0,5,,0,,,Ground,
,Nisala,8,Red 3,323,,,0,0,FALSE,,,FALSE,0,5,,0,,,Ground,
,Taj,9,Red 3,1781,,,0,1,TRUE,,,TRUE,4,2,,0,Solo Climb,,Ground,
,alex,9,Blue 3,5437,,,0,0,FALSE,,,FALSE,0,0,,0,,,,bro is worse than a roomba 😭 at least roombas can move without shaking
,Aiden,9,Blue 1,3937,,,,,FALSE,"Center Line 1 , Center Line 2",,FALSE,2,3,,0,,,Ground,
,Luke Thompson,9,Red 3,1781,,,0,1,TRUE,,,TRUE,4,3,,0,Solo Climb,,"Ground , Source",Good
,Coby,9,Blue 2,4336,,,0,1,TRUE,,,FALSE,0,2,,0,,"Parts Fell Off/Broke , Failed Auto",Ground,
,Jonathan,9,Red 1,1622,,,0,1,TRUE,Center Spike,,FALSE,2,4,,0,Solo Climb,,Ground,
,Dillon,9,Red 1,1622,,,0,2,TRUE,,,TRUE,1,2,,0,Solo Climb,,"Ground , Source","Intake, more like outtake. Bad intake."
,zofia,9,Red 2,9067,,,0,1,TRUE,,,FALSE,2,0,,0,Solo Climb,,Ground,"if they can shoot speaker it malfunctioned, their driver is on smth that i don’t want bleh"
,Jazlyn,9,Red 2,9067,,,0,1,TRUE,,,TRUE,2,0,,0,Solo Climb,,Ground,"bumped a lot, wasn’t really working with their alliance (kept crashing into them and fighting to score in the amp)"
,Garys,9,Blue 1,3937,,,0,1,TRUE,"Center Line 1 , Center Line 2",,TRUE,4,2,,0,,,Ground,"Okay at scoring, but controls seem slippy. Might want to prioritize Amp over speaker but could go either way."
,Leif,9,Blue 3,5437,,,0,0,FALSE,,,FALSE,0,0,,0,,Failed Auto,,"An incredibly sad robot fail, couldn’t move most of the game, it appeared to be some major PID issue, as it was constantly shaking."
,Jalen,9,Blue 2,4336,,,0,1,TRUE,,,FALSE,1,4,,0,,,,
,zofia,10,Red 2,3102,,,0,1,FALSE,,,FALSE,0,5,,0,Solo Climb,,Source,"pretty good for a source only robot, good driver"
,Jonathan,10,Red 1,3616,,,0,0,FALSE,,,FALSE,0,6,,0,Solo Climb,,"Ground , Source",
,Taj,10,Red 3,2992,,,0,1,FALSE,,,FALSE,5,1,,0,,,Source,Fast
,Luke Thompson,10,Red 3,2992,,,0,1,TRUE,,,FALSE,6,1,,0,,,Ground,
,Dillon,10,Red 1,3616,,,0,0,FALSE,,,FALSE,0,6,,0,,,"Ground , Source",Kinda slow good at scoring
,Aiden,10,Blue 1,2341,,,,,FALSE,,,FALSE,0,5,,0,Solo Climb,Failed Auto,Ground,A note slipped under its wheel at some point and cost them some time
,alex,10,Blue 3,6186,,,0,0,FALSE,,,FALSE,0,0,,0,,Failed Auto,Source,"shooter was horrible, same w pid"
,Coby,10,Blue 2,9073,,,0,0,FALSE,,,FALSE,0,0,,0,,"Parts Fell Off/Broke , Failed Auto",,Don’t know how to drive w/ swerve
,Jalen,10,Blue 2,9073,,,0,0,FALSE,,,FALSE,0,0,,0,Solo Climb,,,It didnt do anything to secure blue’s win
,Leif,10,Blue 3,6186,,,0,0,FALSE,,,FALSE,0,0,,0,,Failed Auto,Source,"Very poor strategy, it only took notes and shot them to the other side."
,Garys,10,Blue 1,2341,,,0,0,FALSE,,,FALSE,0,5,,0,Solo Climb,,Ground,Had trouble with ground intake ay beginning then got better. Scored speaker only.
,Jazlyn,10,Red 2,3102,,,0,1,FALSE,,,TRUE,0,4,,1,Solo Climb,,Source,"took a while to move from the source the first time thue went, climb was just barely a climb"
,Luke Thompson,11,Red 2,8044,,,0,0,FALSE,,,FALSE,2,6,,0,Solo Climb,,Ground,
,lucia,11,Blue 3,7525,,,0,4,TRUE,"Right Spike , Center Spike , Left Spike",,FALSE,0,3,,0,Solo Climb,Parts Fell Off/Broke,"Ground , Source",note stuck in intake?
,Fanta,11,Blue 2,5002,,,0,0,TRUE,,,FALSE,0,0,,0,,,,Didn’t attempt to take a note or score
,Maggie,11,Red 2,8044,,,0,0,FALSE,,,FALSE,1,6,,0,Solo Climb,,Ground,No auto
,Jalen,11,Blue 2,5002,,,0,0,FALSE,,,FALSE,0,0,,0,2 Robot Climb,Disabled,,Disgusting play
,Dillon,11,Blue 3,7525,,,0,4,TRUE,,,FALSE,0,4,,0,Solo Climb,Parts Fell Off/Broke,"Ground , Source",Goated. Note stuck. Goated w defense
,Garys,11,Blue 1,4107,,,0,1,FALSE,,,FALSE,1,2,,0,Solo Climb,,Source,
,Garys,11,Blue 1,4107,,,0,1,FALSE,,,FALSE,1,2,,0,Solo Climb,,Source,
,Logan,11,Red 3,3792,,,0,1,TRUE,Left Spike,,FALSE,0,1,,0,2 Robot Climb,,Ground,They missed the speaker many times and drove quite slowly.
,Logan,11,Red 3,3792,,,0,1,TRUE,Left Spike,,FALSE,0,1,,0,2 Robot Climb,,Ground,They missed the speaker many times and drove quite slowly.
,Nisala,11,Red 1,7483,,,0,0,FALSE,,,FALSE,0,0,,0,,Disabled,,Fully broken entire match
,Nisalsa,11,Red 1,7483,,,0,0,FALSE,,,FALSE,0,0,,0,,Disabled,,Did not move.
,Luke,12,Red 2,323,,,0,1,FALSE,,,TRUE,2,0,,0,,Disabled,Ground,Robot stopped working halfway through
,lucia,12,Blue 3,2190,,,0,0,TRUE,,,FALSE,0,0,,0,,Tipped/Tippy,,"barely moved around at all, kinda just stayed still"
,Fanta,12,Blue 2,3937,,,0,2,FALSE,,,FALSE,2,6,,0,,,Ground,
,Jalen,12,Blue 2,3937,,,0,2,TRUE,"Left Spike , Failed Center Line 4",,FALSE,1,4,,0,Solo Climb,,Source,
,Dillon,12,Blue 3,2190,,,0,0,TRUE,,,FALSE,0,0,,0,,Tipped/Tippy,,So bad. No intake. I dont know what was happening.
,Garys,12,Blue 1,6055,,,0,0,FALSE,,,FALSE,3,1,,0,Solo Climb,,Ground,Slow movement note wise. Need to change angle for speaker shot.
,Garys,12,Blue 1,6055,,,0,0,FALSE,,,FALSE,3,1,,0,Solo Climb,,Ground,Slow movement note wise. Need to change angle for speaker shot.
,Maggie,12,Red 2,323,,,0,0,TRUE,,,TRUE,1,1,,0,,Disabled,Ground,Sat at choke point for most of match. Disabled?
,Logan,12,Red 3,4336,,,0,1,TRUE,,,FALSE,2,3,,0,,,Ground,"Really slow driving, couldn’t get past defense."
,Logan,12,Red 3,4336,,,0,1,TRUE,,,FALSE,2,3,,0,,,Ground,"Really slow driving, couldn’t get past defense."
,Nisala,12,Red 1,6586,,,0,0,TRUE,,,FALSE,0,0,,0,,"Tipped/Tippy , Made Alliance Fail Climb",Ground,"Tippy, got in the way during amplification, bad maneuverability"
,Nisalsa,12,Red 1,6586,,,0,0,TRUE,,,FALSE,0,0,,0,,,Ground,Shooter is very inconsistent and not powerful enough.
,Owen Reynolds,13,Red 1,1622,,,0,1,TRUE,,,FALSE,0,5,,0,Solo Climb,,"Ground , Source",
,Owen Reynolds,13,Red 1,1622,,,0,1,TRUE,,,FALSE,0,5,,0,Solo Climb,,"Ground , Source",
,lucia,13,Blue 3,9067,,,0,1,TRUE,,,FALSE,1,0,,0,Solo Climb,,Ground,"kept trying to score in amp, but kept missing"
,Luke Thompson,13,Red 2,5454,,,0,1,FALSE,,,FALSE,1,0,,0,,,Ground,Could barely intake
,Taj,13,Blue 3,9067,,,0,0,FALSE,,,FALSE,1,0,,0,Solo Climb,,Ground,Bad at speaker
,Garys,13,Blue 1,16,,,0,1,FALSE,Center Line 5,,FALSE,0,1,,0,3 Robot Climb,,Ground,Note got stuck In intake early on. Resorted to defence.
,Garys,13,Blue 1,16,,,0,1,FALSE,Center Line 5,,FALSE,0,1,,0,3 Robot Climb,,Ground,Note got stuck In intake early on. Resorted to defence.
,Maggie,13,Red 2,5454,,,0,1,FALSE,,,FALSE,2,0,,0,,,Ground,Got stuck in the corner for a while.
,Fanta,13,Blue 2,3616,,,0,1,FALSE,"Left Spike , Failed Left Spike",,FALSE,0,6,,0,,,"Ground , Source",Only shot in speaker
,Fanta,13,Blue 2,3616,,,0,1,FALSE,"Left Spike , Failed Left Spike",,FALSE,0,6,,0,,,"Ground , Source",Only shot in speaker
,Logan,13,Red 3,2357,,,0,1,TRUE,,,FALSE,1,2,,0,2 Robot Climb,Parts Fell Off/Broke,Ground,"Because of their clumsy and slow driving they crashed into teammates and opponents, eventually losing a piece of their robot. They also struggled to intake from the ground multiple times."
,Logan,13,Red 3,2357,,,0,1,TRUE,,,FALSE,1,2,,0,2 Robot Climb,Parts Fell Off/Broke,Ground,"Because of their clumsy and slow driving they crashed into teammates and opponents, eventually losing a piece of their robot. They also struggled to intake from the ground multiple times."
,Taj,14,Blue 3,9429,,,0,0,TRUE,,,FALSE,0,1,,0,,,Source,Shooter has no power
