Page Header,Name,Match Number,Assignment,Robot?,Team (getting scouted),Page 2 Header,AMP Score (Auto),SPEAKER Score (Auto),Crossed Line?,Game Pieces Taken?,Page 3 Header,Used Coopertition Button,AMP Score (Teleop),SPEAKER Score (Teleop),Shuttled Notes,Intook From (Full Match),Page 4 Header,TRAP Score,Climb Type,Issues,Notes
,Nisala,2,Red 3,9455,,,0,0,TRUE,,,FALSE,2,0,0,,,0,Solo Climb,,Really really slow (see data)
,Nisala,2,Red 1,8159,,,0,3,TRUE,,,FALSE,0,9,0,Ground,,0,,,Great shoot on the move
,Nisala,2,Red 2,5705,,,0,0,FALSE,,,FALSE,0,0,0,,,0,,Disabled,
,Fanta,4,Red 2,3310,,,0,1,TRUE,,,TRUE,0,3,0,Ground,,1,Solo Climb,,"Passed the notes over stage, fast."
,Leif,4,Blue 3,7712,,,0,1,TRUE,,,TRUE,2,0,0,Ground,,0,Solo Climb,,"The robot had a bad auto, only shot the preloaded note and crossed the line. The driver seemed to be taking a while with limited access of travel. The robot has troubles with moving through tight spaces (easily pinned)"
,Leif,5,Blue 3,3546,,,0,0,FALSE,,,FALSE,0,0,0,Ground,,0,Solo Climb,,The robot was used to shoot notes from the source to the blue alliance side of the field.
,Fanta,5,Red 2,68,,,0,2,TRUE,Left Spike,,FALSE,0,3,0,Ground,,0,2 Robot Climb,Tipped/Tippy,On the slower side
,Leif,6,Blue 3,8592,,,0,4,TRUE,"Right Spike , Center Spike , Left Spike",,FALSE,0,0,0,,,0,,Disabled,"Robot had an auto that was flawed by waiting 2 or 3 seconds staying still before shooting its final note. The robot’s shooter can adjust from a distance greater than being at the subwoofer, but the robot disabled during the match, so much of the data is skewed."
,Fanta,6,Red 2,9726,,,0,0,FALSE,,,TRUE,0,0,0,,,0,,Tipped/Tippy,Slow and remained close to the speaker throughout the entire match
,Davin,6,Red 3,2370,,,0,0,TRUE,Center Spike,,TRUE,6,2,0,Ground,,0,Solo Climb,,Very innacurate speaker shooter. Very accurate amp shooter
,Logan,6,Red 1,5993,,,0,0,FALSE,,,TRUE,0,1,0,Ground,,0,,Parts Fell Off/Robot Broke,"Really slow driving, really slow intake, intake got hit while outside of bumper and bent really easily."
,Davin,7,Red 3,5940,,,0,3,TRUE,"Center Line 1 , Center Line 2",,FALSE,7,7,2,Ground,,0,Solo Climb,,Extremely accurate AMP. and SPEAKER shots
,Fanta,7,Red 2,8013,,,0,2,TRUE,Right Spike,,TRUE,1,0,0,Ground,,0,Solo Climb,,"Hard for 8013 to intake from ground, but extremely fast."
,Leif,7,Blue 3,1671,,,0,0,TRUE,,,FALSE,2,2,0,Ground,,0,Solo Climb,,"Robot is pinned easily, speed is about average, not very fast or slow. Their teammate’s intake broke, and the strategy that changed throughout the match was not very good."
,Logan,7,Red 1,1250,,,0,3,TRUE,"Center Spike , Left Spike",,TRUE,0,0,6,Ground,,0,Solo Climb,,"Good at shuttling, but struggled to get around defense"
,Leif,8,Blue 3,9429,,,0,0,FALSE,,,FALSE,0,0,0,,,0,,,"Defense robot, along with being a kit bot, defense was bad, barely did anything, adult pushed around."
,Davin,8,Red 3,3374,,,,0,FALSE,,,FALSE,0,4,0,Source,,0,Buddy Climb,,Very slow bot. Slow shooter
,Lucas,8,Blue 1,195,,,0,3,TRUE,Center Line 1,,FALSE,7,5,0,"Ground , Source",,0,2 Robot Climb,,"Really efficient amp and speaker score, kinda carried fs"
,Coby,8,Blue 2,818,,,0,2,TRUE,,,FALSE,0,3,3,Ground,,0,,,Auto data inaccurate (app didn’t update)
,Fanta,8,Red 2,5715,,,0,1,TRUE,Left Spike,,TRUE,4,3,0,Ground,,0,,,"Inconsistent shooting, mainly focused on shooting amp"
,Logan,8,Red 1,1781,,,0,3,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,3,4,2,Ground,,0,,,They got better since searcy
,Coby,9,Blue 2,498,,,0,4,FALSE,"Right Spike , Center Line 1 , Center Line 2",,TRUE,6,7,0,Ground,,0,,,Insane amp and speaker cycle
,Lucas,9,Blue 1,8298,,,0,1,FALSE,,,FALSE,0,3,0,Source,,0,,Tipped/Tippy,Boooo
,Logan,9,Red 1,456,,,0,1,TRUE,,,TRUE,6,3,0,Ground,,0,Solo Climb,,
,Davin,9,Red 3,2096,,,0,0,FALSE,,,TRUE,0,1,2,Ground,,0,,,Slow shooter.
,Fanta,9,Red 2,6328,,,0,4,TRUE,"Right Spike , Center Spike , Center Line 3",,TRUE,0,5,8,Ground,,1,Solo Climb,,"Extremely consistent, fast robot, avoids conflict with other robots. Overall good robot"
,Leif,9,Blue 3,302,,,0,4,TRUE,"Right Spike , Center Spike , Left Spike",,FALSE,0,0,13,Ground,,0,,,"Robot had a 4 note auto, climb failed, the robot was able to shoot the notes relatively far so the rest of the alliance could score the notes."
,Lucas,10,Blue 1,3128,,,0,0,FALSE,,,FALSE,0,1,6,Source,,0,Solo Climb,,"Really clever driving, tipped enemy robot over🐒"
,Coby,10,Blue 2,4481,,,0,3,FALSE,"Center Spike , Left Spike , Center Line 3 , Center Line 4 , Center Line 5",,FALSE,8,4,0,Ground,,0,2 Robot Climb,,Really good amp cycle and really janky climb
,Davin,10,Red 3,8188,,,0,2,FALSE,Center Line 2,,TRUE,3,0,0,Ground,,0,,Tipped/Tippy,Blocked blue from speaker. Accurate AMP shooter and SPEAKER
,Fanta,10,Red 2,8214,,,0,2,TRUE,"Right Spike , Center Spike",,TRUE,0,5,5,Ground,,0,,,"Pretty consistent, took time for them to intake from ground tho,"
,Leif,11,Blue 3,192,,,0,0,TRUE,Center Line 2,,TRUE,0,0,0,,,0,Solo Climb,Parts Fell Off/Robot Broke,"The robot broke during the beginning (somewhere near the shooter, appears to be a belt), they played defense for the rest of the match."
,Lucas,11,Blue 1,5809,,,0,0,TRUE,,,FALSE,1,2,0,Ground,,0,Solo Climb,,"Slow, failed amp like 6 times in a row😭"
,Davin,11,Red 3,6574,,,0,0,TRUE,,,TRUE,6,1,0,Ground,,0,Solo Climb,,Very quick intake
,Fanta,11,Red 2,8891,,,0,2,TRUE,"Right Spike , Center Spike",,TRUE,0,4,1,Ground,,0,,,"Attempted 2 robot climb (parked), consistent shooting in speaker"
,Logan,11,Red 1,1325,,,0,1,TRUE,,,TRUE,1,4,5,Ground,,0,Solo Climb,,Failed their auto but pretty good driving
,Coby,11,Blue 2,9694,,,0,0,TRUE,,,TRUE,0,0,0,Ground,,0,,Note Stuck In Robot,Failed auto + broke
,Lucas,12,Blue 1,3641,,,0,1,TRUE,,,FALSE,2,2,0,"Ground , Source",,0,2 Robot Climb,Note Stuck In Robot,That is such a weird climb
,Coby,12,Blue 2,2834,,,0,0,FALSE,,,TRUE,1,4,0,Ground,,0,Solo Climb,,"Auto failed, slow, sloppy driving, missed a shot and got a penalty"
,Davin,12,Red 3,7525,,,0,1,TRUE,Left Spike,,TRUE,2,4,0,Ground,,0,,,Fast bot. Accurate amp and speaker shooter
,Logan,12,Red 1,108,,,0,3,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,3,4,0,Ground,,0,2 Robot Climb,,Seems consistent
,Leif,12,Blue 3,8576,,,0,0,FALSE,,,TRUE,0,3,12,Ground,,0,2 Robot Climb,,"Robot was able to shoot many notes throughout the match, along with having limited issues with traveling quick from the center line towards the source, enabling the rest of the alliance to score more notes."
,Fanta,12,Red 2,4786,,,0,1,TRUE,,,TRUE,2,0,0,Ground,,0,2 Robot Climb,,"Slow, inconsistent, struggling to move forward at some points"
,Lucas,13,Blue 1,3494,,,0,0,TRUE,Center Line 1,,TRUE,5,0,0,"Ground , Source",,1,Solo Climb,,"Auto was just shuttling, climbed pretty early in endgame"
,Coby,13,Blue 2,6647,,,0,2,TRUE,Center Spike,,TRUE,0,1,2,Ground,,0,Solo Climb,,"Missed most notes they fired, accrued penalties, shoddy driving"
,Davin,13,Red 3,4414,,,0,2,TRUE,"Center Line 3 , Center Line 4",,TRUE,0,0,9,Ground,,1,Solo Climb,,Can shoot quick and low across the field
,Logan,13,Red 1,4909,,,0,1,TRUE,,,TRUE,0,2,2,Ground,,0,Solo Climb,,Seemed to be struggling with controllability at beginning of teleop.
,Fanta,13,Red 2,687,,,0,4,FALSE,"Right Spike , Center Spike , Left Spike",,TRUE,7,4,0,Ground,,0,,,"Good at shooting in amp, but is not very fast"
,Leif,13,Blue 3,180,,,0,1,TRUE,Center Line 4,,FALSE,0,5,1,Ground,,0,Solo Climb,Note Stuck In Robot,"A note got stuck under the robot near the beginning of the match, although it was able to be freed from it, movement was not significantly impaired from the note. The robot also was able to quickly score away from the subwoofer, which most likely led it to complete an additional cycle."
,Lucas,14,Blue 1,5705,,,0,1,FALSE,,,TRUE,1,5,0,Source,,0,2 Robot Climb,,Nice
,Coby,14,Blue 2,3134,,,0,2,TRUE,"Right Spike , Left Spike",,TRUE,0,2,0,Ground,,0,Solo Climb,,Didn’t do much during the match
,Fanta,14,Red 2,5993,,,0,1,FALSE,,,TRUE,0,0,0,,,0,Solo Climb,Tipped/Tippy,"Slow, really tippy, tried to defend but almost tipped over, hard for them to intake"
,Davin,14,Red 3,33,,,0,3,TRUE,"Center Line 4 , Center Line 5",,TRUE,3,7,0,Ground,,0,Solo Climb,,Extremely accurate SPEAKER shooter. Adequate AMP shooter
,Leif,14,Blue 3,3175,,,0,3,TRUE,"Center Line 1 , Center Line 2",,FALSE,3,5,0,Ground,,0,2 Robot Climb,,"Robot was efficient throughout the match, climbers extend enough to support multiple robots on a chain. The robot was also easily pinned 2 times."
,Coby,15,Blue 2,2080,,,0,2,TRUE,Right Spike,,TRUE,0,1,0,Ground,,0,Solo Climb,,Super slow at scoring turning and driving
,Davin,15,Red 3,88,,,0,1,FALSE,Center Line 5,,TRUE,0,6,0,Ground,,0,,,Very quick SPEAKER shooter.
,Leif,15,Blue 3,2370,,,0,2,TRUE,Center Spike,,FALSE,4,2,0,Ground,,0,,,The robot’s intake and shooting was abnormally slow in the first part of the match.
,Fanta,15,Red 2,9421,,,0,1,FALSE,,,TRUE,0,0,2,Ground,,0,,,"More of defense, remained near the stage majority of the time, shaky and slow"
,Jonathan Wang,16,Blue 1,9455,,,0,1,FALSE,,,TRUE,0,0,5,Source,,0,,Tipped/Tippy,
,Jazzy,16,Red 2,5232,,,0,0,FALSE,,,FALSE,0,1,11,Source,,0,Solo Climb,,Exclusively shuttle
,Aiden,16,Blue 3,1781,,,0,4,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,1,6,0,Ground,,0,Solo Climb,,
,Dillon,16,Blue 2,3310,,,0,1,TRUE,,,TRUE,2,3,3,"Ground , Source",,1,Solo Climb,,Good defense. Scored well. Couldnt see well
,Taj,17,Red 3,195,,,0,1,TRUE,,,FALSE,1,3,0,Source,,0,Solo Climb,,
,Jazzy,17,Red 2,1671,,,0,2,TRUE,Center Line 1,,FALSE,3,2,0,Ground,,0,2 Robot Climb,,Are their left/right controls switched or what
,Aiden,17,Blue 3,456,,,0,0,TRUE,,,TRUE,1,3,0,"Ground , Source",,0,,,"Meh, they were okay. I might have missed a couple points"
,Lucas,18,Red 2,3627,,,0,1,FALSE,,,FALSE,0,1,0,Source,,0,,Note Stuck In Robot,Boo
,Taj,18,Red 3,8613,,,0,2,TRUE,,,TRUE,5,1,0,Ground,,0,,,Froze for a second
,Aiden,18,Blue 3,9726,,,0,0,TRUE,,,FALSE,0,0,0,,,0,,,Roomba. Heavy defense bot
,Dillon,18,Blue 2,2096,,,0,0,TRUE,,,TRUE,0,5,0,"Ground , Source",,0,Solo Climb,,It was missed a few shots. Good driver but it was slow. Bad auto.
,Taj,19,Red 3,192,,,0,0,TRUE,,,TRUE,2,1,0,Ground,,0,,Parts Fell Off/Robot Broke,Intake bent
,Dillon,19,Blue 2,9694,,,0,0,FALSE,,,TRUE,0,0,0,,,0,,Disabled,
,Aiden,19,Blue 3,302,,,0,2,TRUE,Right Spike,,TRUE,2,1,8,Ground,,0,Solo Climb,,Shuttled A LOT. Looks like they tried to score in trap towards the end.
,Dillon,20,Blue 2,7525,,,0,5,TRUE,,,TRUE,0,4,0,"Ground , Source",,0,,,Goated
,Aiden,20,Blue 3,4481,,,0,2,TRUE,Center Line 1,,TRUE,4,0,0,Ground,,0,,,"Attempted to climb at the end, overall pretty good at amp scoring"
,Taj,20,Red 3,498,,,0,1,TRUE,,,TRUE,2,0,0,Ground,,0,,Note Stuck In Robot,Note stuck good defense against us
,Luke,20,Red 1,5809,,,0,3,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,2,4,6,Ground,,0,Solo Climb,,"Amp scoring a lil slow, quality shots but missed first note in auto"
,Jazlyn,20,Red 2,5715,,,0,1,TRUE,,,TRUE,1,4,0,Ground,,0,,,attempted to clime but seemed to be indecisive on whether to score in amp or speaker. also couldn’t see auto very well
,Taj,21,Red 3,818,,,0,0,TRUE,,,TRUE,4,3,0,Ground,,0,Solo Climb,,
,Aiden,21,Blue 3,108,,,0,0,FALSE,,,TRUE,4,6,0,Ground,,0,Solo Climb,,"Pretty good, kind of carried. Didn’t have an auto, though"
,Jazlyn,21,Red 2,1218,,,0,1,FALSE,,,TRUE,0,0,0,,,0,,,"really slow robot seemed to have trouble moving, didn’t do anything all round"
,Dillon,21,Blue 2,2046,,,0,4,TRUE,,,TRUE,0,4,5,"Ground , Source",,1,Solo Climb,Parts Fell Off/Robot Broke,Part broke on the shooter thingy made it less consistent but still scored. Shuttled a lot. Good driver.
,Luke,21,Red 1,8298,,,0,1,FALSE,,,TRUE,0,1,0,Ground,,0,,Tipped/Tippy,"Bad robot, tried amp a lot but didn’t work"
,Luke,22,Red 1,8592,,,0,4,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,2,2,5,Ground,,0,Solo Climb,,Slow cycles
,Jazlyn,22,Red 2,9429,,,0,0,FALSE,,,FALSE,0,0,0,,,0,,Disabled,wasn’t working the entire match
,Aiden,22,Blue 3,3641,,,0,0,TRUE,Center Line 4,,TRUE,3,2,2,Ground,,0,,,"Looked like they tried to climb, but failed. Didn’t catch all of their auto."
,Taj,22,Red 3,157,,,0,1,TRUE,,,TRUE,5,4,0,Ground,,0,2 Robot Climb,,Idk if in their climb they made it all the way up or not
,Dillon,22,Blue 2,3357,,,0,0,TRUE,,,TRUE,3,3,0,"Ground , Source",,0,Solo Climb,Disabled,Was disabled then stopped. Was good when it was awake. Consistent and quick. Intentional decision making.
,Aiden,23,Blue 3,3128,,,0,4,TRUE,,,TRUE,0,7,5,Ground,,0,Solo Climb,,Terrifyingly fast. They have a pretty decent driver as well.
,Luke,23,Red 1,6652,,,0,0,FALSE,,,FALSE,0,2,0,Ground,,0,,Tipped/Tippy,"Insanely tippy, all weight in one mechanism"
,jonathan,23,Blue 1,3494,,,0,3,TRUE,"Right Spike , Center Spike , Center Line 3",,TRUE,0,7,6,Ground,,0,Solo Climb,,auto scouting wonky couldnt see that well
,Taj,23,Red 3,8891,,,0,2,TRUE,,,TRUE,0,1,0,Ground,,0,Solo Climb,Parts Fell Off/Robot Broke,I think something broke they switched to defense in the last third of the match
,Dillon,23,Blue 2,8188,,,0,1,TRUE,,,TRUE,0,2,0,"Ground , Source",,0,Solo Climb,,Driver had to have been confused. Missed many shots. Looked like a chicken with its head cut off at time.
,Jazlyn,23,Red 2,2834,,,0,1,TRUE,,,TRUE,3,3,0,Ground,,0,Solo Climb,,failed to get trap note and it shoots really fast and hits the bottom of speaker score
,Aiden,24,Blue 3,6574,,,0,0,TRUE,,,TRUE,3,6,0,Ground,,0,Solo Climb,,Slow speaker shooter
,jonathan,24,Blue 1,6328,,,0,3,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,0,1,5,Ground,,1,Solo Climb,,their aim sucks missed speaker a bunch
,Taj,24,Red 3,6647,,,0,1,TRUE,,,TRUE,2,1,0,Ground,,0,,Parts Fell Off/Robot Broke,Maybe broke? Switched to defense halfway
,Dillon,24,Blue 2,99999,,,0,1,TRUE,,,TRUE,0,3,5,"Ground , Source",,0,,,Short auto. Good a shuttling and scoring. Did everything it needed to but climb.
,Luke,24,Red 1,68,,,0,1,FALSE,"Center Line 1 , Center Line 2",,TRUE,0,1,10,Ground,,0,,Made Other Auto Fail,"Auto was too slow, couldn’t shoot the ones they got, fed the whole time"
,Jazlyn,24,Red 2,4270,,,0,2,TRUE,"Center Spike , Center Line 1",,TRUE,5,6,0,Ground,,1,Solo Climb,,"really fast robot, really good at scoring amp and speaker but overshot one auto shot
i think it got center like 1?"
,Luke,25,Red 1,8013,,,0,1,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,5,5,0,"Ground , Source",,1,Solo Climb,Made Other Auto Fail,"Failed auto, only first note went in"
,Aiden,25,Blue 3,8214,,,0,1,TRUE,"Center Line 1 , Center Line 2",,TRUE,5,0,0,Ground,,0,,,Bad speaker shooter accuracy
,Jazlyn,25,Red 2,1325,,,0,2,TRUE,Center Line 2,,TRUE,1,7,0,Ground,,0,Solo Climb,,good auto and good speed but missed a couple speaker shots
,Taj,25,Red 3,3374,,,0,0,TRUE,,,TRUE,1,0,0,Ground,,0,Solo Climb,,
,Dillon,25,Blue 2,4786,,,0,2,TRUE,,,TRUE,2,1,0,Ground,,0,,,Couldnt see well****. It drove around like it had no idea what was happening and was inconsistent.
,Taj,26,Red 3,456,,,0,1,TRUE,,,TRUE,3,2,0,Source,,0,Solo Climb,,Missed speaker a lot
,Aiden,26,Blue 3,5993,,,0,1,FALSE,,,TRUE,0,0,0,,,0,,"Tipped/Tippy , Parts Fell Off/Robot Broke","Attempted to climb, but I think their intake broke"
,Luke,26,Red 1,180,,,0,5,TRUE,,,TRUE,2,5,0,Ground,,1,Solo Climb,Tipped/Tippy,Just slam into them and they will tip over trust 🔥
,Dillon,26,Blue 2,88,,,0,1,TRUE,,,TRUE,4,2,0,"Ground , Source",,1,Solo Climb,,Cant score on speaker. Good at amp scoring. Decent driver.
,Jazlyn,26,Red 2,1403,,,0,4,TRUE,"Center Line 3 , Center Line 4 , Center Line 5",,TRUE,4,4,0,Ground,,0,Solo Climb,,"4 note auto, good at scoring between amp and speaker, good sccuracy"
,Aiden,27,Blue 3,5232,,,0,0,TRUE,Center Line 2,,TRUE,0,0,8,Ground,,0,Solo Climb,,Attempted to 2 robot climb.
,Luke,27,Red 1,687,,,0,3,TRUE,"Center Spike , Center Line 3",,TRUE,7,5,0,Ground,,0,,,"Kept feeding amp the whole time to get amplification, pretty accurate"
,Dillo,27,Blue 2,302,,,0,1,TRUE,,,TRUE,6,9,0,"Ground , Source",,0,Solo Climb,,Kevin durant in terms of scoring. Bad at making space for team. Probably cost the game for that.
,Taj,27,Red 3,6615,,,0,0,TRUE,,,TRUE,0,9,0,"Ground , Source",,0,Solo Climb,,Very consistent speaker scoring
,Jalzny,27,Red 2,3546,,,0,1,FALSE,,,TRUE,0,2,7,Ground,,1,Solo Climb,,"just found out what a shuttle note is it might be more than 7. pssses notes a lot to other side and attempts to score occasionally, able to score in trap"
,Taj,28,Red 3,9694,,,0,0,TRUE,,,TRUE,0,1,0,,,0,,,I don’t think they have an intake
,jonathan,28,Blue 1,195,,,0,2,TRUE,Center Line 3,,TRUE,7,4,0,Ground,,0,Solo Climb,,
,Aiden,28,Blue 3,2080,,,0,1,FALSE,,,TRUE,0,0,0,,,0,,,Did a whole bunch of nothing
,Dillon,28,Blue 2,2096,,,0,1,TRUE,,,TRUE,0,1,5,Source,,0,Solo Climb,,Driver seemed confused. Didnt contribute much.
,Luke,28,Red 1,4481,,,0,3,TRUE,"Left Spike , Center Line 2",,TRUE,4,5,0,Ground,,0,,,Good
,Jazlyn,28,Red 2,5895,,,0,2,TRUE,"Center Line 1 , Center Line 3",,TRUE,3,5,0,Ground,,0,Solo Climb,,missed center line 2
,Taj,29,Red 3,2079,,,0,0,FALSE,,,TRUE,0,0,6,Source,,0,,Parts Fell Off/Robot Broke,I think one of their hooks broke
